id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
6636,Polkadot,DOT,polkadot-new,561,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1216686229.9573479,1348945587.2625277,True,,11,,,,2023-08-26T05:20:00.000Z,4.4926155384490745,93940010.01560281,4.6807,-0.08298173,2.39192184,0.12979094,-15.27006534,-11.54351352,-16.42368165,5466103462.1234045,0.5203,6060293905.86,,2023-08-26T05:20:00.000Z,,,,,,2023-08-26 10:52:56.685867
4943,Dai,DAI,multi-collateral-dai,2529,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-08-26T05:20:00.000Z,0.9996076425430908,67718324.27519664,-24.7984,-0.04954749,0.02428292,0.00105381,-0.05715082,0.01252823,0.00526352,5345790311.777146,0.5088,5345790311.78,,2023-08-26T05:20:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-08-26 10:52:56.685867
3890,Polygon,MATIC,polygon,823,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,13,,,,2023-08-26T05:20:00.000Z,0.546397384448262,228606307.2099162,-16.8399,-0.19134558,1.41903746,-5.50866056,-25.47908937,-16.67403369,-41.0089956,5092133523.903764,0.4847,5463973844.48,,2023-08-26T05:20:00.000Z,,,,,,2023-08-26 10:52:56.685867
11419,Toncoin,TON,toncoin,130,2021-08-26T13:40:22.000Z,"['pos', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,14,3414166606.0,4870041779.31396,,2023-08-26T05:20:00.000Z,1.4264218303686262,28826181.70393882,2.5738,-0.33264504,1.45416037,10.13882408,4.54185347,-1.98448304,-26.17356547,4895325793.250526,0.466,7199947674.4,,2023-08-26T05:20:00.000Z,,,,,,2023-08-26 10:52:56.685867
5994,Shiba Inu,SHIB,shiba-inu,618,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589346914631298.1,589589040239379.6,False,,15,,,,2023-08-26T05:20:00.000Z,8.187464777342828e-06,122170727.36330125,-19.4803,-0.2440745,1.67144736,-3.85866982,3.60255325,7.78128659,-7.09574283,4825257105.179423,0.4593,4827239500.07,,2023-08-26T05:20:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-08-26 10:52:56.685867
1,Bitcoin,BTC,bitcoin,10414,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19467950.0,19467950.0,False,,1,,,,2023-08-26T05:20:00.000Z,26049.001992992326,11688955897.345861,-8.2441,-0.01010956,0.04095497,0.39881695,-11.63802698,-14.12875805,-4.14392382,507120668349.4749,48.2698,547029041852.84,,2023-08-26T05:20:00.000Z,,,,,,2023-08-26 10:52:57.930504
1027,Ethereum,ETH,ethereum,7260,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120216173.39680196,120216173.39680196,True,,2,,,,2023-08-26T05:20:00.000Z,1651.5827160903955,4912262738.720175,-8.4115,-0.09421458,0.06836815,-0.44852659,-12.17850989,-11.62447818,-10.69451461,198546954176.68414,18.8991,198546954176.68,,2023-08-26T05:20:00.000Z,,,,,,2023-08-26 10:52:57.930504
825,Tether USDt,USDT,tether,60018,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,82851601095.74326,85439257711.57307,True,,3,,,,2023-08-26T05:20:00.000Z,0.9994875107952881,18465442916.13171,-11.0556,-0.01702704,-0.02572135,-0.02244862,-0.04820749,-0.05270534,-0.08172123,82809140544.5886,7.8822,85395471014.34,,2023-08-26T05:20:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-08-26 10:52:57.930504
1839,BNB,BNB,bnb,1576,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153851098.8910107,153851098.8910107,False,,4,,,,2023-08-26T05:20:00.000Z,217.50406253886106,412508911.1837856,6.0925,-0.04544831,1.2144952,0.88509525,-10.49817631,-8.52404746,-29.53010937,33463239034.86289,3.1853,33463239034.86,,2023-08-26T05:20:00.000Z,,,,,,2023-08-26 10:52:57.930504
52,XRP,XRP,xrp,1040,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,52914193551.0,99988485729.0,False,,5,,,,2023-08-26T05:20:00.000Z,0.5210821147248086,989302506.9849011,9.6922,-0.23130108,1.14693191,2.92867988,-27.60445824,8.21342938,10.41009295,27572639874.51291,2.6245,52108211472.48,,2023-08-26T05:20:00.000Z,,,,,,2023-08-26 10:52:57.930504
3408,USD Coin,USDC,usd-coin,13719,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25976213984.702778,25976213984.702778,False,,6,,,,2023-08-26T05:20:00.000Z,1.0000170548737497,2669694715.0996647,-8.4617,-0.01166645,-0.01346837,0.00060798,-0.01254122,0.01410861,0.00441162,25976657005.75278,2.4726,25976657005.75,,2023-08-26T05:20:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-08-26 10:52:57.930504
2010,Cardano,ADA,cardano,900,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35059048070.958,36107356400.571,False,,7,,,,2023-08-26T05:20:00.000Z,0.25998856486784416,163837185.00099364,-28.141,0.0491362,-0.32458532,-0.73086551,-16.94328125,-7.55585746,-30.23883097,9114951593.601131,0.8676,11699485419.05,,2023-08-26T05:20:00.000Z,,,,,,2023-08-26 10:52:57.930504
74,Dogecoin,DOGE,dogecoin,771,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140742996383.70523,140742996383.70523,True,,8,,,,2023-08-26T05:20:00.000Z,0.06318931690243816,181904202.69436905,-19.3004,0.06232856,1.78562929,-0.7970463,-19.81151391,-2.91735312,-13.11029068,8893453800.288658,0.8465,8893453800.29,,2023-08-26T05:20:00.000Z,,,,,,2023-08-26 10:52:57.930504
5426,Solana,SOL,solana,499,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,407893047.65986514,555818172.4563485,True,,9,,,,2023-08-26T05:20:00.000Z,20.32640279700367,254365736.76541564,-21.3914,-0.25037857,-1.19802597,-5.76834206,-19.53242975,23.32305029,-0.66737678,8290998384.831834,0.7892,11297784055.24,,2023-08-26T05:20:00.000Z,,,,,,2023-08-26 10:52:57.930504
1958,TRON,TRX,tron,813,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89376040827.95895,89376076327.57773,True,,10,71659659264.0,5549828424.885837,,2023-08-26T05:20:00.000Z,0.07744703898800047,163033912.66734532,-6.9096,0.18278575,1.28375676,5.51148304,-6.11474101,3.59931381,0.17974216,6921909718.596059,0.6589,6921912467.94,,2023-08-26T05:20:00.000Z,,,,,,2023-08-26 10:52:57.930504
6636,Polkadot,DOT,polkadot-new,561,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1216686229.9573479,1348945587.2625277,True,,11,,,,2023-08-26T05:20:00.000Z,4.4926155384490745,93940010.01560281,4.6807,-0.08298173,2.39192184,0.12979094,-15.27006534,-11.54351352,-16.42368165,5466103462.1234045,0.5203,6060293905.86,,2023-08-26T05:20:00.000Z,,,,,,2023-08-26 10:52:57.930504
4943,Dai,DAI,multi-collateral-dai,2529,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-08-26T05:20:00.000Z,0.9996076425430908,67718324.27519664,-24.7984,-0.04954749,0.02428292,0.00105381,-0.05715082,0.01252823,0.00526352,5345790311.777146,0.5088,5345790311.78,,2023-08-26T05:20:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-08-26 10:52:57.930504
3890,Polygon,MATIC,polygon,823,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,13,,,,2023-08-26T05:20:00.000Z,0.546397384448262,228606307.2099162,-16.8399,-0.19134558,1.41903746,-5.50866056,-25.47908937,-16.67403369,-41.0089956,5092133523.903764,0.4847,5463973844.48,,2023-08-26T05:20:00.000Z,,,,,,2023-08-26 10:52:57.930504
11419,Toncoin,TON,toncoin,130,2021-08-26T13:40:22.000Z,"['pos', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,14,3414166606.0,4870041779.31396,,2023-08-26T05:20:00.000Z,1.4264218303686262,28826181.70393882,2.5738,-0.33264504,1.45416037,10.13882408,4.54185347,-1.98448304,-26.17356547,4895325793.250526,0.466,7199947674.4,,2023-08-26T05:20:00.000Z,,,,,,2023-08-26 10:52:57.930504
5994,Shiba Inu,SHIB,shiba-inu,618,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589346914631298.1,589589040239379.6,False,,15,,,,2023-08-26T05:20:00.000Z,8.187464777342828e-06,122170727.36330125,-19.4803,-0.2440745,1.67144736,-3.85866982,3.60255325,7.78128659,-7.09574283,4825257105.179423,0.4593,4827239500.07,,2023-08-26T05:20:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-08-26 10:52:57.930504
